Title,Description,Type,Language,License,Data Status,Hosted/Linked,Update Frequency,Landing Page,Date Published,Date Updated,Contact Point,Data Granularity,Temporal Coverage From,Temporal Coverage To,Spatial Coverage,Jurisdiction,Data Portal,Publisher/Agency,Keywords,Groups
Aboriginal and Torres Strait Islander Social Health Atlas of Australia,"The Aboriginal & Torres Strait Islander Social Health Atlas data presenting the latest Aboriginal & Torres Strait Islander (ATSI) Social Health Atlas indicators are available by Indigenous Areas, including totals for the Capital cities/ Rest of States/Territories, States/ Territories and Australia.

Note: The Department of Health has approved for release a set of population estimates by Indigenous status for 2011, and projections to 2016 by Statistical Areas Level 2, Indigenous Region and Primary Health Network. To obtain these data, please contact us.

Attribution:  Torrens University Australia",dataset,English,Creative Commons Attribution-NonCommercial-ShareAlike,active,Linked,asRequired,/data/dataset/ab9b4659-3508-4fc7-a631-c52ab1917037,2017-03-09T06:06:07.202548,2018-09-12T02:26:16.090133,phidu@tua.edu.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Unleashed 2014 Industry and Community Data,"aboriginal, health, social atlas","government-reporting-and-policy, health-and-wellbeing"
History Festival Archive,"The History Festival is held every year in May. This dataset contains an archive of festival events for 2013, 2014, 2015 and 2016.",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/8606923a-8c21-4a2a-b31b-925f6fee4616,2015-05-14T07:15:48.169739,2017-06-27T02:07:34.579520,webmaster@history.sa.gov.au,2,2013-05-01,2015-05-31,South Australia,Government of South Australia,data.sa.gov.au,History Trust of South Australia,"about time, australianhistory, festival, history festival, history month, history week, localhistory, militaryhistory, mining history",arts-culture-history
Accounts Payable - Invoices Accurately Processed,"Accounts Payable - Invoices accurately processed, by agency for April 2015.
Dataset released once off.",dataset,English,Creative Commons Attribution,active,Hosted,other,/data/dataset/5d282d4f-0b60-4985-b61d-4326c94368e1,2015-06-01T05:19:25.929594,2015-06-01T05:22:45.724301,datasa@sa.gov.au,,2015-04-01,2015-04-30,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,"accounts, accounts payable",government-reporting-and-policy
Accounts Payable - Number of feed file transactions paid - Projection,Number of feed file transactions paid (by agency)  projection for 2015/16 financial year.,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/98a0b762-9c7d-4025-97ca-0f9cb95d17bd,2015-06-01T00:16:40.572555,2015-06-02T01:25:13.660267,datasa@sa.gov.au,,2015-07-01,2016-06-30,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,"accounts payable, government accounts, government payments, invoices, projection",government-reporting-and-policy
Accounts Payable - Number of manual invoices paid - Projection,Number of manual invoices paid (by agency).  Projection for 2015/16 financial year.,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/230db6fa-c89c-40c8-97f7-3a8bf747c632,2015-06-01T00:09:34.850371,2015-06-02T01:20:04.562384,datasa@sa.gov.au,,2015-07-01,2016-06-30,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,"accounts, financial year, invoices, manual, payable",government-reporting-and-policy
Accounts Payable - Number of Urgent Payments,"Number of urgent payments (by agency) for April 2015.
Dataset released once off.",dataset,English,Creative Commons Attribution,active,Hosted,other,/data/dataset/87dacc98-2df7-4c52-b98e-43dc2853d961,2015-06-01T05:24:56.534954,2015-06-01T05:26:05.231960,datasa@sa.gov.au,,2015-04-01,2015-04-30,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,"accounts, payments, turn around time",government-reporting-and-policy
Accounts Receivable - Invoices Raised within Agreed Timeframe,"Invoices raised within agreed timeframe (by agency) for April 2015.
Dataset released once off.",dataset,English,Creative Commons Attribution,active,Hosted,other,/data/dataset/813966bc-f7ce-4836-8a75-8c3457421a79,2015-06-01T05:31:55.302107,2015-06-01T05:32:18.070234,datasa@sa.gov.au,,2015-04-01,2015-04-30,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,"accounts, invoices",government-reporting-and-policy
Accounts Receivable - Invoices Raised without Error,"Invoices raised without error (by agency) for April 2015.
Dataset released once off.",dataset,English,Creative Commons Attribution,active,Hosted,other,/data/dataset/e9c1b103-88ce-4acc-85bb-07260f2c2cea,2015-06-01T05:29:14.869054,2015-06-01T05:30:13.731638,datasa@sa.gov.au,,2015-04-01,2015-04-30,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,"accounts receivable, invoices",government-reporting-and-policy
Accounts Receivable - Number of external feed/feeder system invoices raised - Projection,Accounts Receivable - Number of external feed/feeder system invoices raised (by agency)  projection for 2015/16 financial year.,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/03fd97de-2a3b-4739-973c-fd447654f27d,2015-06-01T00:30:22.956507,2015-06-02T01:26:38.201697,datasa@sa.gov.au,,2015-07-01,2016-06-30,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,"accounts, finances, invoices raised, receivable",government-reporting-and-policy
Accounts Receivable - Number of external feed/feeder system remittances processed - Projection,Number of external feed/feeder system remittances processed (by agency)  projection for 2015/16 financial year.,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/e1e6f391-73e5-42d8-afe3-055130bf7425,2015-06-01T00:44:22.221291,2015-06-02T01:30:35.685351,datasa@sa.gov.au,,2015-06-01,2016-06-30,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,"accounts, feed, feeder system, receivable, remittances",government-reporting-and-policy
Accounts Receivable - Number of manual invoices raised - Projection,Number of manual invoices raised (by agency)  projection for 2015/16 financial year.,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/cef71acd-055e-40b8-9b46-386951f12337,2015-06-01T00:27:01.480351,2015-06-02T01:24:21.759810,datasa@sa.gov.au,,2015-07-01,2016-06-30,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,"accounts, financial year, goverment, invoices, receivable, receivables",government-reporting-and-policy
Accounts Receivable - Number of manual remittances processed - Projection,Number of manual remittances processed (by agency)  projection for 2015/16 financial year.,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/2f577d65-d015-4c65-a91a-04b34a09c4d1,2015-06-01T00:34:06.902100,2015-06-02T01:23:33.992128,datasa@sa.gov.au,,2015-07-01,2016-06-30,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,"accounts, finances, receivable, remittances",government-reporting-and-policy
Soil Acidity,"Soil acidity mapping highlights land where acidification due to normal farming practices is, or could become, a significant problem. Mapping shows surface and subsoil acidity, and surface buffering capacity (ability to withstand pH changes), while detailed proportion data are supplied for calculating respective areas of each soil acidity class (spatial data statistics). Also available for download in the Australian Soil Resource Information System format: 
[Surface Soil Acidity](http://data.sa.gov.au/data/dataset/surface-acidity-asris); [Subsurface Soil Acidity](http://data.sa.gov.au/data/dataset/subsurface-acidity-asris) and [Subsoil Acidity](http://data.sa.gov.au/data/dataset/subsoil-acidity-asris).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/data/dataset/2d0aaf28-b9e1-4673-ae1f-b04141ccf70b,2016-06-09T02:15:00.760168,2020-02-18T06:49:59.035810,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"agriculture, land use, soil, soil and land attribute data, soil attributes, soil mapping",water-energy-resources-environment-and-science
Current and Future Potential Soil Acidity (ASRIS),"Combines the assessment of soils that are currently acidic (or prone to acidification in the short term) and soils that are not currently recognised as acid prone, but could conceivably become acidic over the next 10-50 years (from 2015). The analysis is based on Soil Landscape Mapping of SA's agricultural districts using soil class information in the nationally-consistent Australian Soil Resource Information System (ASRIS) data format.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/b44e6313-6ff0-4a79-8b14-cc733c3d29cf,2018-11-19T02:12:51.091648,2020-01-16T03:22:37.421812,datasa@sa.gov.au,,2017-06-15,,Southern South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"agriculture, ASRIS soil attribute, land use, soil, soil mapping",water-energy-resources-environment-and-science
Future Acidification Potential (ASRIS),"Future acidification potential is a term which applies to soils which are not currently acidic (or prone to acidification in the short term), but could conceivably become acidic in future, regardless of land use or management practices. 'Future' implies a time frame of 10-50 years from 2015. The analysis is based on Soil Landscape Mapping of SA's agricultural districts using soil class information in the nationally-consistent Australian Soil Resource Information System (ASRIS) data format.",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/data/dataset/a4c448fe-408e-4647-8552-9c73303e1059,2017-12-04T00:40:28.601822,2020-02-18T22:53:33.058343,datasa@sa.gov.au,,2017-06-15,,Southern South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"agriculture, ASRIS soil attribute, land use, soils",water-energy-resources-environment-and-science
Acid Sulfate Soil Potential,"Acid sulfate soil potential mapping shows the proportion of land susceptible to the development of acid sulfate soils, while detailed proportion data are supplied for calculating respective areas of each acid sulfate soil potential class (spatial data statistics).",dataset,English,Creative Commons Attribution,active,Linked,infrequently,/data/dataset/b858a5ba-e4e3-4daf-baff-40a9070092b0,2016-06-09T02:48:07.656099,2020-02-18T06:53:05.009761,datasa@sa.gov.au,,N/A,,Southern South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"agriculture, land use, soil, soil and land attribute data, soil attributes, soil mapping",water-energy-resources-environment-and-science
Acquittal Report,End of year acquittal report for 2017_18,dataset,English,Creative Commons Attribution,active,Hosted,never,/data/dataset/998a431f-b653-470a-8597-586a56dcc99c,2018-11-20T06:02:13.135887,2018-11-20T06:07:30.915174,info@adelaidefestival.com.au,End of year acquittal,2017-07-01,2018-06-30,South Australia,Government of South Australia,data.sa.gov.au,Adelaide Festival Corporation,,
Adelaide and Mount Lofty Ranges NRM Board Annual Report Data,Adelaide and Mount Lofty Ranges NRM Board Annual Report,dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/eb614da8-caa8-4b5d-8b5f-a9db84bdd729,2017-07-21T05:54:35.015150,2019-02-22T00:18:13.027548,datasa@sa.gov.au,,N/A,,Adelaide and Mount Lofty Ranges,Government of South Australia,data.sa.gov.au,Department for Environment and Water,government,"water-energy-resources-environment-and-science, government-reporting-and-policy"
Adelaide CBD Air Quality monitoring station particle data,The Environment Protection Authority (EPA) monitors South Australian airsheds in order to assess the air quality and provide information that can be used to guide management decisions. This data set contains validated particle pollution data for the Adelaide CBD region. This site was commissioned in April 2014.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/9fd65c8d-a3bc-474e-9cf2-03a58a837fc0,2016-06-30T23:47:21.645538,2020-06-19T06:43:34.247785,epainfo@epa.sa.gov.au,2014 - 10 minute averaged data; From 2015 - 1 hour averaged data,2014-04-01,,Adelaide CBD,Government of South Australia,data.sa.gov.au,Environment Protection Authority (EPA),"Adelaide CBD, air pollution, air quality, community, environment, particles, quality, services",water-energy-resources-environment-and-science
City of Adelaide Census of Land Use and Employment,"Provides a statistical snapshot of the Citys employment by industry and location.

The census also captures parking and venue capacities however for simplicity this data has not been included in this dataset for the competition.  Includes employment numbers (part time and full time) by industry (Anzic division and class) aggregated at city survey block level.   Due to privacy guarantees, when the data is delivered to agencies outside the ACC land use survey is aggregated to survey block level.  The survey block shapefile provides a visual representation of the data and has the survey block number or ID which can be used to link to land use data.

The land use data is a one to many relationship to the land use tables so is not presented joined but in separate tables (CSV files).  There are two CSV files, one of higher level (Division) land use and a lower level land use (class), both with the attendant employee figures for that Survey Block. There is an additional dataset that groups all the Anzsic activities by Survey Block. The survey block number is used for linking back to the survey block shapefile.

FkSurveyBl in the tables links to SVYBLK in the KMZ layer SurveyBlock.
Additional information on ANZSIC codes.",dataset,English,Creative Commons Attribution,active,Linked,other,/data/dataset/6f9688c0-6952-4805-8da8-8e090202c55c,2013-05-15T22:10:34.386107,2018-06-18T03:57:29.113988,DataSA@sa.gov.au,Employment numbers (part-time & full-time) aggregated down to city survey block level. Land use presented in higher and lower level divisions linking to employment numbers. ,,,Adelaide and North Adelaide,Local Government,data.sa.gov.au,N/A,"adelaide, anzic, business, council, employment, housing, industry, land use, location","finance-and-employment, community-information-and-citizen-services"
Adelaide City Council Greenhouse Gas Inventory,"The compilation of Australias emissions data  called the National Greenhouse Gas Inventory  is undertaken centrally by the Department of the Environment.  Although not legislatively required to report on our emissions, ACC have generated a GHG Inventory report on it's energy usage on a yearly basis since 2010.  

Australias National Greenhouse Accounts conform to the international guidelines adopted by the United Nations Framework Convention on Climate Change (UNFCCC). The National Greenhouse Gas Inventory is reviewed annually by a team of international experts.

Australias National Greenhouse Gas Inventory is supported by a set of institutional arrangements which is designed to facilitate close coordination of the compilation of the inventory, efficient emissions data management, broadly based quality assurance processes and secure and reliable data collections.

More information including metadata can be found at:  http://www.environment.gov.au/climate-change/greenhouse-gas-measurement/publications/national-greenhouse-accounts-factors-dec-2014 ",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/b705f5fa-1048-4834-b5fc-591747e905fe,2015-05-26T07:57:08.326350,2016-06-22T04:19:09.099467,city@adelaidecitycouncil.com,Monthly usage is included broken down by type,2010-07-01,2014-06-30,"Adelaide City Council owned facilities, plant and fleet",Local Government,data.sa.gov.au,City of Adelaide,"adelaide, carbon emissions, climate change, energy, GHG, greenhouse gas",water-energy-resources-environment-and-science
"Adelaide Key Historical Events, 1836-2005",Provides significant dates & events in the history of Adelaide.,dataset,English,Creative Commons Attribution,active,Linked,infrequently,/data/dataset/c737c490-e962-4740-aced-76705386bfa2,2015-06-04T03:25:05.402223,2016-06-08T04:09:03.870296,city@adelaidecitycouncil.com,,1840,1975,Adelaide & North Adelaide,Local Government,data.sa.gov.au,City of Adelaide,"adelaide city council, events, history, local history",arts-culture-history
City of Adelaide Contours,This dataset contains the City of Adelaide Contours at 0.5m height levels. The position accuracy levels are 0.5m,dataset,English,Creative Commons Attribution,active,Linked,other,/data/dataset/71d3fcef-b50f-48d2-a238-40b8c45c1366,2016-08-11T00:33:25.272259,2018-06-18T03:56:16.801117,city@adelaidecitycouncil.com,,,2008-12-01,South Australia,Local Government,data.sa.gov.au,City of Adelaide,"Adelaide, Contours, Parklands",
Adelaide City Living Market Research,"With population growth in the Adelaide city centre a priority for both the Government of South Australia and the City of Adelaide, a joint research study was commissioned by the two organisations into the market for Adelaide city living. 

The work, undertaken by Hudson Howells in South Australia, identified key market segments for Adelaide, as well as providing insights into perceptions of Adelaide as a residential proposition, product preferences, competitor environment and relocation decision making.  

The research comprised four surveys and seven focus groups. Reports outlining the results of each study and the round of focus groups are available here as pdf files. Survey raw data is also provided here in excel and spss formats for use by the development community and others.

In particular providing the data in spss format allows for further statistical interrogation and additional insights into the Adelaide city living market.",dataset,English,Creative Commons Attribution,active,Hosted,never,/data/dataset/de8a85fc-53b3-45f8-9282-99ef9c5b5056,2017-12-07T03:13:44.544181,2018-04-03T00:43:06.586476,City of Adelaide  (08) 8203 7237 and Capital City Committee  (08) 8207 2322,,2016-01-01,,City of Adelaide,Local Government,data.sa.gov.au,City of Adelaide,"apartments, city living, City of Adelaide, data, housing, housing market, research, residential",housing-land-planning-and-infrastructure
Adelaide Dolphin Sanctuary,"This dataset shows the spatial boundaries of the Adelaide Dolphin Sanctuary.

The Adelaide Dolphin Sanctuary covers a 118 km area including the inner Port, Barker Inlet, Outer Harbour and North Haven marina, reaching as far north as Port Gawler. ",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/64a09fa1-fb22-43a8-8f84-2688bdfa9513,2016-06-26T23:42:10.758465,2020-02-18T05:48:21.502713,datasa@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,Department for Environment and Water,"conservation, dolphin, environment, marine, marine fauna",
Annual Report 2014-15,"Annual Report including: Consultants disclosure, Contractors disclosure, Risk management, Fraud Detected, Whistle-blowers disclosure, Public Complains",dataset,English,Creative Commons Attribution,active,Hosted,Once off,/data/dataset/3800350f-b8ed-4d21-a6ac-1ef181c6dbf4,2019-11-01T01:18:29.558265,2019-11-01T01:33:13.295073,info@adelaidefestival.com.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Adelaide Festival Corporation,Annual Report,
Annual Report 2015-16,"Annual Report including: Consultants disclosure, Contractors disclosure, Risk management, Fraud Detected, Whistle-blowers disclosure, Public Complains",dataset,English,Creative Commons Attribution,active,Hosted,Once off,/data/dataset/e67131ec-f77e-42fe-bb56-86ebd52ac27f,2019-11-01T01:21:35.173372,2019-11-01T01:32:44.627072,info@adelaidefestival.com.au,,,,South Australia,Government of South Australia,data.sa.gov.au,Adelaide Festival Corporation,Annual Report,
Adelaide Film Festival Annual Report Data,Adelaide Film Festival Annual Report Data,dataset,English,Other (Open),active,Hosted,annually,/data/dataset/497789a0-0f3f-423f-a3a5-466f84e86372,2017-09-27T08:05:46.030484,2017-10-27T03:56:37.020765,datasa@sa.gov.au,Unit level,2016-07-01,2017-06-30,South Australia,Government of South Australia,data.sa.gov.au,Adelaide Film Festival,"Annual Report Data, Arts","arts-culture-history, government-reporting-and-policy"
Adelaide Film Festival Annual Report Data 2017-18,Data for the Adelaide Film Festival Annual Report 2017-18,dataset,English,Other (Open),active,Linked,annually,/data/dataset/5ed2f74f-0431-4478-84b0-106d3d23749d,2018-07-30T02:15:14.095071,2018-08-21T02:41:09.621691,datasa@sa.gov.au,,2017-07-01,2018-06-30,South Australia,Government of South Australia,data.sa.gov.au,Adelaide Film Festival,"Arts, Film",
AdelaideFree Wi-Fi Access Point Locations,"Latitude and longitude of access points broadcasting the AdelaideFree SSID (service set identifier). This includes a BSSID (basic service set identification) for outdoor access points.

For further information visit http://www.adelaidefree.com/

Dataset to be attributed to Internode.",dataset,English,Creative Commons Attribution,active,Hosted,asRequired,/data/dataset/8b8040ac-c71c-4c9b-b361-be84b4cd3dc6,2014-06-25T00:40:32.390473,2016-06-06T05:52:23.178924,hotspot@internode.on.net,,June 2014,,City of Adelaide,Government of South Australia,data.sa.gov.au,Unleashed 2014 Industry and Community Data,"AdelaideFree, free, iiNet, internode, wi-fi",
Adelaide CBD Air Quality monitoring station gaseous data,The Environment Protection Authority (EPA) monitors South Australian airsheds in order to assess the air quality and provide information that can be used to guide management decisions. This data set contains validated gaseous pollution data for the Adelaide CBD region. This site was commissioned in April 2014.,dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/0b81fe48-cfe8-4f4e-b5d0-cf2b6f4da172,2016-06-30T06:52:44.508400,2020-06-19T06:42:41.490711,epainfo@epa.sa.gov.au,2014 - 10 minute averaged data; From 2015 - 1 hour averaged data,2014-04-01,2016-06-01,Adelaide CBD,Government of South Australia,data.sa.gov.au,Environment Protection Authority (EPA),"Adelaide CBD, air pollution, air quality, carbon monoxide, community, environment, gaseous, nitrogen oxides, quality, services",water-energy-resources-environment-and-science
"Adelaide Metro Bus, Train and Tram Complaints per 100k boardings","The number of bus, train and tram specific complaints received each quarter per 100,000 boardings.",dataset,English,Creative Commons Attribution,active,Linked,quarterly,/data/dataset/31efb556-1372-434c-8682-2545e07d53c0,2017-05-26T07:40:58.537787,2020-05-22T08:39:28.207917,dino.cappello@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","bus, complaints, public transport, train, tram",transport-travel-and-motoring
Adelaide Metrocard Validations,"Total onboard validations (banded) by date, mode, route, direction, stop and media type",dataset,English,Creative Commons Attribution,active,Linked,quarterly,/data/dataset/5b55dce0-6f75-4702-a9a5-f36413e0a27c,2015-07-03T05:37:05.116765,2020-08-13T07:46:09.701550,Pete.McKenna@sa.gov.au,"Daily by mode, route, direction, stop and media type",2013-01-01,2016-06-30,Metropolitan Adelaide,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","bus, metro, metrocard, public, train, tram, transport, validation",transport-travel-and-motoring
Adelaide Metro Complaints Response Performance,"The total number of complaints received via the Adelaide Metro website, InfoLine and InfoCentre, and the number answered within 10 business days, per quarter from January 2016.",dataset,English,Creative Commons Attribution,active,Linked,quarterly,/data/dataset/0b9f8253-9eda-474f-b4c1-b4ae7456f599,2017-05-26T07:51:39.190640,2020-05-22T08:42:15.837152,dino.cappello@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","bus, complaints, train, tram",transport-travel-and-motoring
Adelaide Metro Enquiries Response Performance,The number of enquiries received per quarter from January 2016 and the percentage answered within two days. Enquiries relate to online enquiries regarding public transport information and are received via the Adelaide Metro website. ,dataset,English,Creative Commons Attribution,active,Linked,quarterly,/data/dataset/e7b481dc-7216-429c-960f-1a48e8fb5aaa,2017-05-26T07:57:10.345231,2020-05-22T08:43:08.487829,dino.cappello@sa.gov.au,,N/A,,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","bus, enquiries, public transport, train, tram",transport-travel-and-motoring
Adelaide Metro Infoline Performance,"The number of incoming Adelaide Metro Infoline calls per quarter from January 2016 and the percentage answered within 2 minutes. These calls relate to numerous specific public transport topics such as journey plans, timetable enquiries, complaints, metroCARD, lost property.",dataset,English,Creative Commons Attribution,active,Linked,quarterly,/data/dataset/26e651df-a904-4387-bd8a-d3917a3ba772,2017-05-25T07:33:28.933987,2020-05-22T08:38:15.290482,Dino.cappello@sa.gov.au,Quarterly summary,2016-01-01,2017-03-01,South Australia,Government of South Australia,data.sa.gov.au,"Department of Planning, Transport and Infrastructure","performance, phone calls, public transport",transport-travel-and-motoring
